"state","sid","year","cdl_binary","cdl","l_homicide","l_assault","l_robbery","l_larceny","l_police","l_income","l_prisoner"
"Alabama",1,2000,0,0,2.02735567092896,5.78572416305542,4.87986993789673,7.9863772392273,5.8546085357666,10.7111015319824,6.40576648712158
"Alabama",1,2001,0,0,2.16486692428589,5.64061212539673,4.85499143600464,7.92251110076904,5.86313486099243,10.6759309768677,6.42128419876099
"Alabama",1,2002,0,0,1.93633413314819,5.61542987823486,4.91576242446899,7.95008945465088,5.74138164520264,10.7270708084106,6.4616322517395
"Alabama",1,2003,0,0,1.9195671081543,5.5550389289856,4.92495155334473,7.94747495651245,5.85381603240967,10.6956882476807,6.45597124099731
"Alabama",1,2004,0,0,1.74984121322632,5.54382514953613,4.91899728775024,7.93771743774414,5.79275417327881,10.6520690917969,6.3740029335022
"Alabama",1,2005,0,0,2.13044047355652,5.53812313079834,4.97755479812622,7.90791034698486,5.66229057312012,10.6332321166992,6.44213628768921
"Alabama",1,2006,1,0.580821931362152,2.07965230941772,5.42879343032837,5.033203125,7.8804726600647,5.83279418945312,10.6223268508911,6.42009973526001
"Alabama",1,2007,1,1,2.14569044113159,5.51483154296875,5.08393383026123,7.90530014038086,5.87622833251953,10.7007246017456,6.46358633041382
"Alabama",1,2008,1,1,2.04359769821167,5.54086923599243,5.06750106811523,7.91355133056641,5.85689878463745,10.7152843475342,6.49160623550415
"Alabama",1,2009,1,1,1.93868410587311,5.64472913742065,4.90686655044556,7.84318256378174,5.90020704269409,10.6125078201294,6.53085088729858
"Alabama",1,2010,1,1,1.74793982505798,5.50350189208984,4.60668134689331,7.79513025283813,5.83154296875,10.6207418441772,6.50455713272095
"Alaska",2,2000,0,0,1.49151825904846,6.03560066223145,4.39008665084839,7.9270749092102,5.68341493606567,11.1111040115356,6.53207206726074
"Alaska",2,2001,0,0,1.84624648094177,6.07663011550903,4.42490816116333,7.9055495262146,5.68982601165771,11.1654224395752,6.61017227172852
"Alaska",2,2002,0,0,1.66512370109558,6.02957248687744,4.36097860336304,7.9521369934082,5.69533348083496,11.0660133361816,6.5575213432312
"Alaska",2,2003,0,0,1.8232786655426,6.09243822097778,4.2600359916687,7.96067333221436,5.66190338134766,11.02601146698,6.5775318145752
"Alaska",2,2004,0,0,1.76094770431519,6.19465589523315,4.25258827209473,7.8402624130249,5.69753170013428,11.0597238540649,6.57379102706909
"Alaska",2,2005,0,0,1.60674774646759,6.17596673965454,4.42701005935669,7.89652156829834,5.65744495391846,11.041672706604,6.61988019943237
"Alaska",2,2006,1,0.295890420675278,1.68133234977722,6.2462592124939,4.49307489395142,7.85881519317627,5.66670894622803,11.0187931060791,6.62871217727661
"Alaska",2,2007,1,1,1.87201654911041,6.20782089233398,4.45257759094238,7.82585000991821,5.63110017776489,11.1010551452637,6.63787460327148
"Alaska",2,2008,1,1,1.37709975242615,6.20185136795044,4.5489616394043,7.71261358261108,5.66349220275879,11.0790300369263,6.60125207901001
"Alaska",2,2009,1,1,1.16950988769531,6.16025161743164,4.56157493591309,7.7108678817749,5.6678032875061,11.0448560714722,6.65109539031982
"Alaska",2,2010,1,1,1.48791563510895,6.17926359176636,4.44080781936646,7.70477914810181,5.62643146514893,10.9716062545776,6.68391466140747
"Arizona",3,2000,0,0,1.9671516418457,5.87308359146118,5.00702047348022,8.16606616973877,5.88323307037354,10.827151298523,6.26910638809204
"Arizona",3,2001,0,0,2.04070663452148,5.84118366241455,5.13944673538208,8.18730354309082,5.87735939025879,10.8703193664551,6.27879095077515
"Arizona",3,2002,0,0,1.97937572002411,5.93320035934448,5.00814771652222,8.23469924926758,5.85888624191284,10.7822008132935,6.30830574035645
"Arizona",3,2003,0,0,2.08702707290649,5.83543682098389,4.93638277053833,8.19765949249268,5.84251546859741,10.7955265045166,6.34519338607788
"Arizona",3,2004,0,0,1.99446177482605,5.81662368774414,4.92029476165771,8.06380367279053,5.86248731613159,10.8319244384766,6.3580527305603
"Arizona",3,2005,0,0,2.03249979019165,5.8099250793457,4.99149799346924,8.01330089569092,5.86552810668945,10.8303623199463,6.35566473007202
"Arizona",3,2006,1,0.684931516647339,2.14361429214478,5.84167194366455,5.03388023376465,7.96351099014282,5.85104656219482,10.8288173675537,6.3665828704834
"Arizona",3,2007,1,1,2.18870759010315,5.78529596328735,5.06624698638916,7.96026229858398,5.88593101501465,10.8127336502075,6.41924381256104
"Arizona",3,2008,1,1,1.96801018714905,5.69524145126343,5.03565311431885,7.88961219787598,5.889328956604,10.7686319351196,6.43621969223022
"Arizona",3,2009,1,1,1.79309749603271,5.60965251922607,4.8646936416626,7.8103837966919,5.89225482940674,10.7470788955688,6.46511459350586
"Arizona",3,2010,1,1,1.86334466934204,5.56521987915039,4.69425439834595,7.79182767868042,5.85431909561157,10.7638216018677,6.44950914382935
"Arkansas",4,2000,0,0,1.86606276035309,5.83444356918335,4.34350109100342,7.89462804794312,5.64795017242432,10.5347595214844,6.12765216827393
"Arkansas",4,2001,0,0,1.73216414451599,5.83648157119751,4.42249059677124,7.88532781600952,5.66266393661499,10.6227407455444,6.17592763900757
"Arkansas",4,2002,0,0,1.68441641330719,5.72586059570312,4.56218957901001,7.90083980560303,5.6694803237915,10.5777578353882,6.20826959609985
"Arkansas",4,2003,0,0,1.91578876972198,5.84226226806641,4.4312424659729,7.85099172592163,5.67245674133301,10.5437088012695,6.21947813034058
"Arkansas",4,2004,0,0,1.8836236000061,5.9317455291748,4.48462820053101,7.92822504043579,5.67834663391113,10.6061391830444,6.24607038497925
"Arkansas",4,2005,0,0,1.94538033008575,5.98601531982422,4.54039812088013,7.93565368652344,5.71210241317749,10.6198873519897,6.2171106338501
